NUMBER OF HEADER LINES: 51

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE08_2021_41M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2022-02-21
STATION NAME: site08
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE:40.0411 N 
LONGITUDE:85.9734 W 
ALTITUDE:245 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT:41m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2021-01-01 00:00:00
DATASET END DATE: 2021-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Traceable to the WMO X2019 scale (CO2), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The INFLUX observation network includes up to twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
site08 CFADS2155   41   1.0400   1.0820  2021    1   1   427.87     0.19     NaN   2046.3     2.01     NaN     NaN    NaN     NaN    1030  1  0.030
site08 CFADS2155   41   1.0820   1.1230  2021    1   2   428.32     0.10     NaN   2050.7     1.15     NaN     NaN    NaN     NaN    1027  1  0.030
site08 CFADS2155   41   1.1230   1.1650  2021    1   3   427.94     0.11     NaN   2055.5     3.97     NaN     NaN    NaN     NaN    1026  1  0.030
site08 CFADS2155   41   1.1650   1.2070  2021    1   4   428.35     0.13     NaN   2067.8     2.07     NaN     NaN    NaN     NaN    1026  1  0.030
site08 CFADS2155   41   1.2070   1.2480  2021    1   5   429.17     0.39     NaN   2063.3     2.98     NaN     NaN    NaN     NaN    1026  1  0.030
site08 CFADS2155   41   1.2480   1.2900  2021    1   6   427.86     0.50     NaN   2064.7     3.59     NaN     NaN    NaN     NaN    1028  1  0.030
site08 CFADS2155   41   1.2900   1.3320  2021    1   7   427.13     0.34     NaN   2061.9     6.17     NaN     NaN    NaN     NaN    1029  1  0.030
site08 CFADS2155   41   1.3320   1.3730  2021    1   8   426.88     0.15     NaN   2048.7     4.75     NaN     NaN    NaN     NaN    1029  1  0.030
site08 CFADS2155   41   1.3730   1.4150  2021    1   9   427.82     0.42     NaN   2063.4     3.69     NaN     NaN    NaN     NaN    1029  1  0.040
site08 CFADS2155   41   1.4150   1.4570  2021    1  10   428.87     0.13     NaN   2080.6     6.37     NaN     NaN    NaN     NaN    1030  1  0.040
site08 CFADS2155   41   1.4570   1.4980  2021    1  11   429.22     0.24     NaN   2077.7     1.79     NaN     NaN    NaN     NaN    1032  1  0.040
site08 CFADS2155   41   1.4980   1.5400  2021    1  12   429.32     0.19     NaN   2086.7     4.25     NaN     NaN    NaN     NaN    1032  1  0.040
site08 CFADS2155   41   1.5400   1.5820  2021    1  13   430.07     0.14     NaN   2092.3     1.03     NaN     NaN    NaN     NaN    1032  1  0.040
site08 CFADS2155   41   1.5820   1.6230  2021    1  14   429.57     0.18     NaN   2093.2     4.94     NaN     NaN    NaN     NaN    1033  1  0.040
site08 CFADS2155   41   1.6230   1.6650  2021    1  15   429.11     0.14     NaN   2074.2     6.20     NaN     NaN    NaN     NaN    1034  1  0.040
site08 CFADS2155   41   1.6650   1.7070  2021    1  16   429.07     0.07     NaN   2083.5     6.51     NaN     NaN    NaN     NaN    1034  1  0.040
site08 CFADS2155   41   1.7070   1.7480  2021    1  17   429.35     0.24     NaN   2102.5     5.99     NaN     NaN    NaN     NaN    1033  1  0.040
site08 CFADS2155   41   1.7480   1.7900  2021    1  18   430.33     0.22     NaN   2103.2     4.44     NaN     NaN    NaN     NaN    1037  1  0.050
site08 CFADS2155   41   1.7900   1.8320  2021    1  19   431.01     0.26     NaN   2115.8     5.94     NaN     NaN    NaN     NaN    1038  1  0.050
site08 CFADS2155   41   1.8320   1.8730  2021    1  20   432.02     0.34     NaN   2145.5     9.64     NaN     NaN    NaN     NaN    1034  1  0.050
site08 CFADS2155   41   1.8730   1.9150  2021    1  21   433.11     0.45     NaN   2174.3     8.73     NaN     NaN    NaN     NaN    1033  1  0.050
site08 CFADS2155   41   1.9150   1.9570  2021    1  22   434.06     0.28     NaN   2203.3    14.17     NaN     NaN    NaN     NaN    1032  1  0.050
site08 CFADS2155   41   1.9570   1.9980  2021    1  23   434.80     1.07     NaN   2209.5     6.74     NaN     NaN    NaN     NaN    1029  1  0.060
site08 CFADS2155   41   1.9980   2.0400  2021    2   0   437.81     2.77     NaN   2204.7     5.93     NaN     NaN    NaN     NaN    1030  1  0.060
site08 CFADS2155   41   2.0400   2.0820  2021    2   1   441.13     2.25     NaN   2168.0    23.79     NaN     NaN    NaN     NaN    1032  1  0.050
site08 CFADS2155   41   2.0820   2.1230  2021    2   2   432.33     1.24     NaN   2093.0    11.26     NaN     NaN    NaN     NaN    1034  1  0.060
site08 CFADS2155   41   2.1230   2.1650  2021    2   3   432.58     0.50     NaN   2079.5     4.42     NaN     NaN    NaN     NaN     820  1  0.060
site08 CFADS2155   41   2.1650   2.2070  2021    2   4   433.44     0.38     NaN   2078.6     1.66     NaN     NaN    NaN     NaN     980  1  0.060
site08 CFADS2155   41   2.2070   2.2480  2021    2   5   431.31     0.67     NaN   2078.4     1.40     NaN     NaN    NaN     NaN    1035  1  0.050
site08 CFADS2155   41   2.2480   2.2900  2021    2   6   430.72     0.18     NaN   2089.5     9.20     NaN     NaN    NaN     NaN    1034  1  0.050
site08 CFADS2155   41   2.2900   2.3320  2021    2   7   430.98     0.18     NaN   2100.0     6.08     NaN     NaN    NaN     NaN    1034  1  0.050
site08 CFADS2155   41   2.3320   2.3730  2021    2   8   430.59     0.25     NaN   2089.6     4.15     NaN     NaN    NaN     NaN    1035  1  0.050
