NUMBER OF HEADER LINES: 51

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE15_2024_75M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2025-05-08
STATION NAME: site15
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE: 39.6376 N
LONGITUDE: 86.4779 W
ALTITUDE: 258 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT: 75m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2025-01-01 00:00:00
DATASET END DATE: 2025-05-01 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Traceable to the WMO X2019 scale (CO2), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The INFLUX observation network includes up to twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std(ppm) unc(ppm) CH4(ppb) std(ppb) unc(ppb) CO(ppb) std(ppb) unc(ppb) #pts Flag H2O(percent) 
site15 CFKADS2218   75   1.0380   1.0800  2025    1   1   440.34     0.78     NaN   2066.0     7.15     NaN   139.4    5.9     NaN    2008  1  0.040
site15 CFKADS2218   75   1.0800   1.1220  2025    1   2   441.45     0.19     NaN   2078.8     2.36     NaN   134.9    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   1.1220   1.1630  2025    1   3   440.29     0.84     NaN   2069.0     5.23     NaN   132.4    5.4     NaN    2009  1  0.040
site15 CFKADS2218   75   1.1630   1.2050  2025    1   4   438.70     0.31     NaN   2057.0     1.15     NaN   128.0    5.2     NaN    2008  1  0.040
site15 CFKADS2218   75   1.2050   1.2470  2025    1   5   439.27     0.37     NaN   2059.8     0.74     NaN   128.7    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   1.2470   1.2880  2025    1   6   437.09     0.36     NaN   2054.1     1.53     NaN   124.4    5.0     NaN    2009  1  0.040
site15 CFKADS2218   75   1.2880   1.3300  2025    1   7   436.72     0.34     NaN   2053.9     1.22     NaN   124.4    5.1     NaN    2007  1  0.040
site15 CFKADS2218   75   1.3300   1.3720  2025    1   8   438.18     0.54     NaN   2057.8     1.55     NaN   126.2    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   1.3720   1.4130  2025    1   9   437.49     0.76     NaN   2051.0     3.48     NaN   124.8    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   1.4130   1.4550  2025    1  10   435.69     0.19     NaN   2045.4     0.54     NaN   121.8    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   1.4550   1.4970  2025    1  11   436.30     0.46     NaN   2050.3     2.66     NaN   121.8    4.9     NaN    2009  1  0.040
site15 CFKADS2218   75   1.4970   1.5380  2025    1  12   436.96     0.11     NaN   2056.2     0.82     NaN   119.7    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   1.5380   1.5800  2025    1  13   436.60     0.33     NaN   2059.5     1.03     NaN   118.7    5.2     NaN    1607  1  0.040
site15 CFKADS2218   75   1.5800   1.6220  2025    1  14   437.19     0.42     NaN   2067.2     3.07     NaN   122.6    5.0     NaN    2003  1  0.040
