NUMBER OF HEADER LINES: 51

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE03_2021_54M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2022-02-21
STATION NAME: site03
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE:39.7833 N 
LONGITUDE:86.1652 W 
ALTITUDE:226 m ASL 
NUMBER OF SAMPLING HEIGHTS:4 
SAMPLING HEIGHT:54m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2021-01-01 00:00:00
DATASET END DATE: 2021-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Traceable to the WMO X2019 scale (CO2), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The INFLUX observation network includes up to twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
site03 CKADS2025   54   1.0150   1.0330  2021    1   0   434.58     1.21     NaN      NaN      NaN     NaN   238.8   32.7     NaN     380  1  0.040
site03 CKADS2025   54   1.0570   1.0740  2021    1   1   433.79     1.62     NaN      NaN      NaN     NaN   211.2   21.7     NaN     380  1  0.040
site03 CKADS2025   54   1.0980   1.1110  2021    1   2   431.98     0.80     NaN      NaN      NaN     NaN   215.6   35.4     NaN     263  1  0.040
site03 CKADS2025   54   1.1400   1.1580  2021    1   3   431.20     0.74     NaN      NaN      NaN     NaN   219.5   36.0     NaN     380  1  0.040
site03 CKADS2025   54   1.1810   1.1990  2021    1   4   431.92     0.79     NaN      NaN      NaN     NaN   187.3   14.8     NaN     381  1  0.040
site03 CKADS2025   54   1.2230   1.2410  2021    1   5   432.62     0.80     NaN      NaN      NaN     NaN   187.0   11.8     NaN     380  1  0.040
site03 CKADS2025   54   1.2650   1.2830  2021    1   6   432.44     1.13     NaN      NaN      NaN     NaN   190.7   15.9     NaN     381  1  0.040
site03 CKADS2025   54   1.3060   1.3240  2021    1   7   433.33     0.92     NaN      NaN      NaN     NaN   196.8   14.8     NaN     381  1  0.040
site03 CKADS2025   54   1.3480   1.3660  2021    1   8   430.27     0.70     NaN      NaN      NaN     NaN   184.1   23.2     NaN     381  1  0.040
site03 CKADS2025   54   1.3900   1.4080  2021    1   9   430.34     0.58     NaN      NaN      NaN     NaN   171.5   15.7     NaN     381  1  0.040
site03 CKADS2025   54   1.4310   1.4490  2021    1  10   429.98     0.43     NaN      NaN      NaN     NaN   172.7   14.5     NaN     381  1  0.040
site03 CKADS2025   54   1.4730   1.4910  2021    1  11   431.09     0.55     NaN      NaN      NaN     NaN   170.4    8.9     NaN     381  1  0.040
site03 CKADS2025   54   1.5150   1.5330  2021    1  12   430.72     0.83     NaN      NaN      NaN     NaN   169.4   11.5     NaN     381  1  0.040
site03 CKADS2025   54   1.5560   1.5740  2021    1  13   430.32     0.50     NaN      NaN      NaN     NaN   165.4    9.9     NaN     381  1  0.040
site03 CKADS2025   54   1.5980   1.6160  2021    1  14   432.48     0.73     NaN      NaN      NaN     NaN   177.5   10.2     NaN     380  1  0.040
site03 CKADS2025   54   1.6400   1.6580  2021    1  15   433.97     0.93     NaN      NaN      NaN     NaN   185.6   12.4     NaN     380  1  0.040
site03 CKADS2025   54   1.6810   1.6990  2021    1  16   433.89     0.97     NaN      NaN      NaN     NaN   185.1   11.9     NaN     380  1  0.040
site03 CKADS2025   54   1.7230   1.7410  2021    1  17   435.09     1.34     NaN      NaN      NaN     NaN   196.0   14.2     NaN     381  1  0.040
site03 CKADS2025   54   1.7650   1.7830  2021    1  18   434.77     1.41     NaN      NaN      NaN     NaN   190.7   15.9     NaN     380  1  0.040
site03 CKADS2025   54   1.8060   1.8240  2021    1  19   439.11     2.22     NaN      NaN      NaN     NaN   227.1   23.5     NaN     381  1  0.040
site03 CKADS2025   54   1.8480   1.8660  2021    1  20   440.04     2.35     NaN      NaN      NaN     NaN   228.7   26.6     NaN     380  1  0.040
site03 CKADS2025   54   1.8900   1.9080  2021    1  21   444.36     1.41     NaN      NaN      NaN     NaN   265.4   27.5     NaN     380  1  0.050
site03 CKADS2025   54   1.9310   1.9490  2021    1  22   456.05     5.66     NaN      NaN      NaN     NaN   342.5   41.7     NaN     380  1  0.050
site03 CKADS2025   54   1.9730   1.9910  2021    1  23   446.77     5.63     NaN      NaN      NaN     NaN   264.8   48.0     NaN     380  1  0.050
site03 CKADS2025   54   2.0150   2.0320  2021    2   0   439.33     1.28     NaN      NaN      NaN     NaN   201.0   12.3     NaN     380  1  0.050
site03 CKADS2025   54   2.0560   2.0690  2021    2   1   436.15     1.16     NaN      NaN      NaN     NaN   180.5   11.2     NaN     262  1  0.050
site03 CKADS2025   54   2.0980   2.1160  2021    2   2   432.25     0.42     NaN      NaN      NaN     NaN   160.2   10.9     NaN     380  1  0.050
site03 CKADS2025   54   2.1400   2.1570  2021    2   3   433.76     0.45     NaN      NaN      NaN     NaN   165.5   10.1     NaN     380  1  0.050
site03 CKADS2025   54   2.1810   2.1990  2021    2   4   435.04     1.18     NaN      NaN      NaN     NaN   170.8    8.9     NaN     380  1  0.050
site03 CKADS2025   54   2.2230   2.2410  2021    2   5   432.46     0.65     NaN      NaN      NaN     NaN   170.4   10.2     NaN     381  1  0.050
site03 CKADS2025   54   2.2640   2.2820  2021    2   6   430.48     0.39     NaN      NaN      NaN     NaN   160.0    8.7     NaN     380  1  0.050
site03 CKADS2025   54   2.3060   2.3240  2021    2   7   431.27     0.40     NaN      NaN      NaN     NaN   159.9    9.7     NaN     380  1  0.050
site03 CKADS2025   54   2.3480   2.3660  2021    2   8   431.44     0.59     NaN      NaN      NaN     NaN   165.2    9.7     NaN     380  1  0.050
site03 CKADS2025   54   2.3890   2.4070  2021    2   9   431.71     0.66     NaN      NaN      NaN     NaN   168.3    9.9     NaN     380  1  0.050
site03 CKADS2025   54   2.4310   2.4490  2021    2  10   432.93     0.52     NaN      NaN      NaN     NaN   185.4    9.6     NaN     380  1  0.050
site03 CKADS2025   54   2.4730   2.4910  2021    2  11   435.15     0.96     NaN      NaN      NaN     NaN   202.6    8.9     NaN     380  1  0.050
site03 CKADS2025   54   2.5140   2.5320  2021    2  12   438.59     1.17     NaN      NaN      NaN     NaN   218.3   10.9     NaN     380  1  0.050
site03 CKADS2025   54   2.5560   2.5740  2021    2  13   435.73     0.72     NaN      NaN      NaN     NaN   216.7    9.3     NaN     380  1  0.050
site03 CKADS2025   54   2.5980   2.6160  2021    2  14   443.07     4.32     NaN      NaN      NaN     NaN   307.2   88.7     NaN     380  1  0.050
site03 CKADS2025   54   2.6390   2.6570  2021    2  15   443.11     1.85     NaN      NaN      NaN     NaN   284.4   36.3     NaN     380  1  0.050
site03 CKADS2025   54   2.6810   2.6990  2021    2  16   440.73     3.00     NaN      NaN      NaN     NaN   251.2   24.9     NaN     380  1  0.050
site03 CKADS2025   54   2.7230   2.7410  2021    2  17   436.95     1.58     NaN      NaN      NaN     NaN   216.1   10.1     NaN     380  1  0.050
site03 CKADS2025   54   2.7640   2.7820  2021    2  18   441.24     7.79     NaN      NaN      NaN     NaN   226.3   16.4     NaN     380  1  0.050
site03 CKADS2025   54   2.8060   2.8240  2021    2  19   438.81     5.64     NaN      NaN      NaN     NaN   236.8   32.2     NaN     380  1  0.050
site03 CKADS2025   54   2.8480   2.8660  2021    2  20   437.81     3.19     NaN      NaN      NaN     NaN   215.5   14.9     NaN     380  1  0.050
site03 CKADS2025   54   2.8890   2.9070  2021    2  21   437.79     5.13     NaN      NaN      NaN     NaN   211.5   15.9     NaN     380  1  0.050
site03 CKADS2025   54   2.9310   2.9490  2021    2  22   436.49     5.78     NaN      NaN      NaN     NaN   186.1   12.8     NaN     380  1  0.050
site03 CKADS2025   54   2.9730   2.9910  2021    2  23   432.12     1.64     NaN      NaN      NaN     NaN   177.8   15.3     NaN     380  1  0.050
site03 CKADS2025   54   3.0140   3.0270  2021    3   0   433.77     5.46     NaN      NaN      NaN     NaN   174.6   11.4     NaN     263  1  0.050
site03 CKADS2025   54   3.0560   3.0740  2021    3   1   440.79    12.51     NaN      NaN      NaN     NaN   190.8   14.4     NaN     379  1  0.050
site03 CKADS2025   54   3.0980   3.1150  2021    3   2   435.95     1.98     NaN      NaN      NaN     NaN   194.8   11.5     NaN     380  1  0.050
site03 CKADS2025   54   3.1390   3.1570  2021    3   3   436.49     1.78     NaN      NaN      NaN     NaN   196.3   10.6     NaN     380  1  0.050
site03 CKADS2025   54   3.1810   3.1990  2021    3   4   435.64     0.66     NaN      NaN      NaN     NaN   194.2   10.3     NaN     380  1  0.050
site03 CKADS2025   54   3.2230   3.2400  2021    3   5   438.74     0.78     NaN      NaN      NaN     NaN   199.5   10.2     NaN     380  1  0.050
site03 CKADS2025   54   3.2640   3.2820  2021    3   6   437.27     0.69     NaN      NaN      NaN     NaN   184.2   10.5     NaN     379  1  0.050
site03 CKADS2025   54   3.3060   3.3240  2021    3   7   436.28     0.62     NaN      NaN      NaN     NaN   181.2   10.6     NaN     380  1  0.050
site03 CKADS2025   54   3.3470   3.3650  2021    3   8   436.80     0.44     NaN      NaN      NaN     NaN   189.1   10.7     NaN     380  1  0.050
site03 CKADS2025   54   3.3890   3.4070  2021    3   9   435.71     0.70     NaN      NaN      NaN     NaN   181.4    9.8     NaN     380  1  0.050
site03 CKADS2025   54   3.4310   3.4490  2021    3  10   435.23     0.29     NaN      NaN      NaN     NaN   173.4    9.4     NaN     380  1  0.050
site03 CKADS2025   54   3.4720   3.4900  2021    3  11   435.86     0.51     NaN      NaN      NaN     NaN   186.2   10.9     NaN     380  1  0.050
site03 CKADS2025   54   3.5140   3.5320  2021    3  12   436.13     1.08     NaN      NaN      NaN     NaN   191.6   14.5     NaN     380  1  0.050
site03 CKADS2025   54   3.5560   3.5740  2021    3  13   435.14     0.71     NaN      NaN      NaN     NaN   182.0   11.0     NaN     380  1  0.050
site03 CKADS2025   54   3.5970   3.6150  2021    3  14   436.16     0.79     NaN      NaN      NaN     NaN   192.8   10.9     NaN     380  1  0.050
site03 CKADS2025   54   3.6390   3.6570  2021    3  15   436.02     0.83     NaN      NaN      NaN     NaN   192.3   11.1     NaN     380  1  0.050
site03 CKADS2025   54   3.6810   3.6990  2021    3  16   435.37     0.57     NaN      NaN      NaN     NaN   188.9   10.3     NaN     380  1  0.050
site03 CKADS2025   54   3.7220   3.7400  2021    3  17   435.57     1.00     NaN      NaN      NaN     NaN   197.7   13.4     NaN     381  1  0.050
site03 CKADS2025   54   3.7640   3.7820  2021    3  18   434.23     0.50     NaN      NaN      NaN     NaN   188.3   11.0     NaN     380  1  0.050
site03 CKADS2025   54   3.8060   3.8240  2021    3  19   434.13     0.93     NaN      NaN      NaN     NaN   189.0   10.8     NaN     380  1  0.050
site03 CKADS2025   54   3.8470   3.8650  2021    3  20   433.94     0.53     NaN      NaN      NaN     NaN   186.8   10.6     NaN     380  1  0.050
site03 CKADS2025   54   3.8890   3.9070  2021    3  21   434.14     0.61     NaN      NaN      NaN     NaN   188.7   11.1     NaN     379  1  0.050
site03 CKADS2025   54   3.9310   3.9490  2021    3  22   433.71     1.10     NaN      NaN      NaN     NaN   184.1   10.9     NaN     380  1  0.050
site03 CKADS2025   54   3.9720   3.9850  2021    3  23   433.62     0.77     NaN      NaN      NaN     NaN   181.9   10.0     NaN     263  1  0.050
site03 CKADS2025   54   4.0140   4.0320  2021    4   0   434.38     0.93     NaN      NaN      NaN     NaN   193.9   11.7     NaN     380  1  0.050
site03 CKADS2025   54   4.0560   4.0740  2021    4   1   436.13     0.76     NaN      NaN      NaN     NaN   202.5   10.1     NaN     380  1  0.050
site03 CKADS2025   54   4.0970   4.1150  2021    4   2   436.21     1.74     NaN      NaN      NaN     NaN   204.9   14.8     NaN     380  1  0.050
site03 CKADS2025   54   4.1390   4.1570  2021    4   3   434.18     0.86     NaN      NaN      NaN     NaN   193.8   10.9     NaN     380  1  0.050
site03 CKADS2025   54   4.1810   4.1990  2021    4   4   434.76     1.49     NaN      NaN      NaN     NaN   193.7   11.3     NaN     380  1  0.050
