NUMBER OF HEADER LINES: 51

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE15_2024_75M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2025-01-08
STATION NAME: site15
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE: 39.6376 N
LONGITUDE: 86.4779 W
ALTITUDE: 258 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT: 75m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2024-01-01 00:00:00
DATASET END DATE: 2024-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Traceable to the WMO X2019 scale (CO2), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The INFLUX observation network includes up to twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std(ppm) unc(ppm) CH4(ppb) std(ppb) unc(ppb) CO(ppb) std(ppb) unc(ppb) #pts Flag H2O(percent) 
site15 CFKADS2218   75   1.0380   1.0800  2024    1   1   437.51     0.22     NaN   2073.8     0.79     NaN   127.3    5.4     NaN    1967  1  0.800
site15 CFKADS2218   75   1.0800   1.1220  2024    1   2   437.63     0.21     NaN   2077.8     1.60     NaN   127.2    5.5     NaN    1968  1  0.810
site15 CFKADS2218   75   1.1220   1.1630  2024    1   3   438.63     0.29     NaN   2080.8     0.33     NaN   129.1    5.4     NaN    1967  1  0.800
site15 CFKADS2218   75   1.1630   1.2050  2024    1   4   439.22     0.18     NaN   2080.9     0.31     NaN   131.0    5.3     NaN    1967  1  0.800
site15 CFKADS2218   75   1.2050   1.2470  2024    1   5   438.21     0.43     NaN   2078.0     1.92     NaN   130.6    5.3     NaN    1969  1  0.800
site15 CFKADS2218   75   1.2470   1.2880  2024    1   6   435.08     1.07     NaN   2055.8     8.69     NaN   130.6    5.2     NaN    1576  1  0.750
site15 CFKADS2218   75   1.2880   1.3300  2024    1   7   433.85     0.09     NaN   2041.6     0.95     NaN   130.0    5.2     NaN    1968  1  0.770
site15 CFKADS2218   75   1.3300   1.3720  2024    1   8   434.11     0.11     NaN   2041.3     0.51     NaN   131.4    5.5     NaN    1968  1  0.770
site15 CFKADS2218   75   1.3720   1.4130  2024    1   9   434.27     0.06     NaN   2041.5     0.34     NaN   131.8    5.3     NaN    1968  1  0.780
site15 CFKADS2218   75   1.4130   1.4550  2024    1  10   434.28     0.07     NaN   2041.3     0.29     NaN   130.9    5.1     NaN    1967  1  0.780
site15 CFKADS2218   75   1.4550   1.4970  2024    1  11   434.31     0.06     NaN   2041.5     0.47     NaN   130.5    5.5     NaN    1968  1  0.780
site15 CFKADS2218   75   1.4970   1.5380  2024    1  12   434.69     0.17     NaN   2043.8     1.03     NaN   131.1    5.2     NaN    1970  1  0.790
site15 CFKADS2218   75   1.5380   1.5800  2024    1  13   435.30     0.23     NaN   2048.5     2.06     NaN   132.9    5.4     NaN    1968  1  0.780
site15 CFKADS2218   75   1.5800   1.6220  2024    1  14   436.21     0.30     NaN   2055.6     1.97     NaN   136.9    5.6     NaN    1968  1  0.780
site15 CFKADS2218   75   1.6220   1.6630  2024    1  15   437.01     0.14     NaN   2062.4     1.37     NaN   142.7    5.4     NaN    1969  1  0.790
site15 CFKADS2218   75   1.6630   1.7050  2024    1  16   437.61     0.17     NaN   2067.3     1.44     NaN   147.2    5.6     NaN    1968  1  0.790
site15 CFKADS2218   75   1.7050   1.7470  2024    1  17   437.59     0.14     NaN   2069.7     0.65     NaN   149.4    5.5     NaN    1968  1  0.800
site15 CFKADS2218   75   1.7470   1.7880  2024    1  18   436.71     0.35     NaN   2066.5     1.52     NaN   145.4    5.4     NaN    1969  1  0.800
site15 CFKADS2218   75   1.7880   1.8300  2024    1  19   436.54     0.18     NaN   2066.1     0.98     NaN   144.4    5.5     NaN    1968  1  0.810
site15 CFKADS2218   75   1.8300   1.8720  2024    1  20   435.60     0.38     NaN   2061.0     2.30     NaN   142.3    5.4     NaN    1969  1  0.810
site15 CFKADS2218   75   1.8720   1.9130  2024    1  21   434.65     0.45     NaN   2054.1     2.61     NaN   138.2    5.4     NaN    1969  1  0.820
site15 CFKADS2218   75   1.9130   1.9550  2024    1  22   434.98     0.42     NaN   2053.5     2.10     NaN   138.6    5.3     NaN    1967  1  0.820
site15 CFKADS2218   75   1.9550   1.9970  2024    1  23   436.03     0.13     NaN   2058.3     0.44     NaN   140.6    5.3     NaN    1967  1  0.820
site15 CFKADS2218   75   1.9970   2.0380  2024    2   0   436.30     0.29     NaN   2058.3     1.19     NaN   142.8    5.4     NaN    1967  1  0.820
site15 CFKADS2218   75   2.0380   2.0800  2024    2   1   436.66     0.21     NaN   2060.1     0.75     NaN   142.3    5.1     NaN    1968  1  0.820
site15 CFKADS2218   75   2.0800   2.1220  2024    2   2   437.01     0.32     NaN   2058.6     0.85     NaN   142.5    5.4     NaN    1964  1  0.820
site15 CFKADS2218   75   2.1220   2.1630  2024    2   3   435.39     1.08     NaN   2050.7     5.94     NaN   136.9    6.2     NaN    1968  1  0.820
site15 CFKADS2218   75   2.1630   2.2050  2024    2   4   433.29     0.67     NaN   2038.4     2.51     NaN   129.4    5.9     NaN    1967  1  0.820
site15 CFKADS2218   75   2.2050   2.2470  2024    2   5   434.01     0.23     NaN   2040.2     1.04     NaN   129.9    5.3     NaN    1568  1  0.770
site15 CFKADS2218   75   2.2470   2.2880  2024    2   6   434.21     0.54     NaN   2040.4     1.23     NaN   129.4    5.5     NaN    1967  1  0.770
site15 CFKADS2218   75   2.2880   2.3300  2024    2   7   432.90     0.32     NaN   2037.2     1.75     NaN   127.3    5.2     NaN    1969  1  0.780
