NUMBER OF HEADER LINES: 51

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE07_2023_58M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2024-01-26
STATION NAME: site07
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE:39.7739 N 
LONGITUDE:86.2724 W 
ALTITUDE:241 m ASL 
NUMBER OF SAMPLING HEIGHTS:2 
SAMPLING HEIGHT:58m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2023-01-01 00:00:00
DATASET END DATE: 2023-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Traceable to the WMO X2019 scale (CO2), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The INFLUX observation network includes up to twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std(ppm) unc(ppm) CH4(ppb) std(ppb) unc(ppb) CO(ppb) std(ppb) unc(ppb) #pts Flag H2O(percent) 
site07 CKADS2023   58   1.0370   1.0790  2023    1   1   435.44     2.28     NaN      NaN      NaN     NaN   131.9   19.5     NaN     603  1  0.050
site07 CKADS2023   58   1.0790   1.1200  2023    1   2   443.19     3.14     NaN      NaN      NaN     NaN   191.2   23.6     NaN     604  1  0.050
site07 CKADS2023   58   1.1200   1.1620  2023    1   3   442.87     2.53     NaN      NaN      NaN     NaN   195.9   22.3     NaN     603  1  0.050
site07 CKADS2023   58   1.1620   1.2040  2023    1   4   441.75     0.68     NaN      NaN      NaN     NaN   175.5   12.2     NaN     604  1  0.050
site07 CKADS2023   58   1.2040   1.2450  2023    1   5   441.58     0.60     NaN      NaN      NaN     NaN   162.4   10.4     NaN     604  1  0.050
site07 CKADS2023   58   1.2450   1.2870  2023    1   6   443.18     1.63     NaN      NaN      NaN     NaN   151.2   10.9     NaN     605  1  0.050
site07 CKADS2023   58   1.2870   1.3290  2023    1   7   445.78     1.24     NaN      NaN      NaN     NaN   144.9    8.5     NaN     603  1  0.050
site07 CKADS2023   58   1.3290   1.3700  2023    1   8   442.85     0.55     NaN      NaN      NaN     NaN   140.3    7.6     NaN     605  1  0.050
site07 CKADS2023   58   1.3700   1.4120  2023    1   9   442.99     0.42     NaN      NaN      NaN     NaN   142.4    8.2     NaN     604  1  0.050
site07 CKADS2023   58   1.4120   1.4540  2023    1  10   443.40     0.45     NaN      NaN      NaN     NaN   150.4   10.1     NaN     605  1  0.050
site07 CKADS2023   58   1.4540   1.4950  2023    1  11   442.77     0.49     NaN      NaN      NaN     NaN   145.7    8.2     NaN     604  1  0.050
site07 CKADS2023   58   1.4950   1.5370  2023    1  12   441.24     1.20     NaN      NaN      NaN     NaN   148.8   13.8     NaN     604  1  0.050
site07 CKADS2023   58   1.5370   1.5790  2023    1  13   440.70     1.26     NaN      NaN      NaN     NaN   139.5    9.4     NaN     604  1  0.050
site07 CKADS2023   58   1.5790   1.6200  2023    1  14   439.57     1.07     NaN      NaN      NaN     NaN   136.4    7.6     NaN     604  1  0.050
site07 CKADS2023   58   1.6200   1.6620  2023    1  15   438.33     0.97     NaN      NaN      NaN     NaN   149.1   12.8     NaN     604  1  0.050
site07 CKADS2023   58   1.6620   1.7040  2023    1  16   437.25     0.99     NaN      NaN      NaN     NaN   141.5    8.8     NaN     604  1  0.050
site07 CKADS2023   58   1.7040   1.7450  2023    1  17   436.93     0.73     NaN      NaN      NaN     NaN   139.2    9.0     NaN     603  1  0.050
site07 CKADS2023   58   1.7450   1.7870  2023    1  18   437.25     0.77     NaN      NaN      NaN     NaN   156.5   17.2     NaN     602  1  0.060
site07 CKADS2023   58   1.7870   1.8290  2023    1  19   436.36     0.67     NaN      NaN      NaN     NaN   143.6   10.3     NaN     603  1  0.060
site07 CKADS2023   58   1.8290   1.8700  2023    1  20   435.64     0.39     NaN      NaN      NaN     NaN   135.8    8.2     NaN     601  1  0.060
site07 CKADS2023   58   1.8700   1.9120  2023    1  21   435.38     0.69     NaN      NaN      NaN     NaN   135.2    9.0     NaN     601  1  0.060
site07 CKADS2023   58   1.9120   1.9540  2023    1  22   437.03     1.11     NaN      NaN      NaN     NaN   144.0   10.1     NaN     602  1  0.060
site07 CKADS2023   58   1.9540   1.9950  2023    1  23   436.60     1.69     NaN      NaN      NaN     NaN   138.8   10.3     NaN     601  1  0.060
site07 CKADS2023   58   1.9950   2.0370  2023    2   0   443.84     3.98     NaN      NaN      NaN     NaN   204.0   51.8     NaN     602  1  0.060
site07 CKADS2023   58   2.0370   2.0790  2023    2   1   438.40     2.94     NaN      NaN      NaN     NaN   160.3   20.0     NaN     602  1  0.060
site07 CKADS2023   58   2.0790   2.1200  2023    2   2   436.26     1.05     NaN      NaN      NaN     NaN   142.6    9.6     NaN     601  1  0.060
site07 CKADS2023   58   2.1200   2.1620  2023    2   3   436.62     0.55     NaN      NaN      NaN     NaN   145.1    8.2     NaN     601  1  0.060
site07 CKADS2023   58   2.1620   2.2040  2023    2   4   442.27     2.33     NaN      NaN      NaN     NaN   183.4   22.7     NaN     601  1  0.060
site07 CKADS2023   58   2.2040   2.2450  2023    2   5   442.50     2.15     NaN      NaN      NaN     NaN   167.6   11.5     NaN     601  1  0.060
site07 CKADS2023   58   2.2450   2.2870  2023    2   6   447.90     2.33     NaN      NaN      NaN     NaN   192.7   12.1     NaN     601  1  0.060
site07 CKADS2023   58   2.2870   2.3290  2023    2   7   450.86     1.01     NaN      NaN      NaN     NaN   198.8    8.0     NaN     601  1  0.060
site07 CKADS2023   58   2.3290   2.3700  2023    2   8   450.35     1.15     NaN      NaN      NaN     NaN   190.3   10.2     NaN     601  1  0.060
site07 CKADS2023   58   2.3700   2.4120  2023    2   9   448.19     1.31     NaN      NaN      NaN     NaN   169.0   11.4     NaN     602  1  0.060
